,deso,ownership,tenant_owned,tenancy,other,tot
0,0180C1010,103,188,1292,40,1623
1,0180C1020,0,463,1360,49,1872
2,0180C1030,757,765,318,46,1886
3,0180C1040,0,916,1393,14,2323
4,0180C1050,379,1524,543,73,2519
5,0180C1060,0,1093,838,19,1950
6,0180C1070,0,345,1051,3,1399
7,0180C1080,0,1350,181,19,1550
8,0180C1090,0,1217,405,12,1634
9,0180C1100,9,139,1502,29,1679
10,0180C1110,1243,426,529,3,2201
11,0180C1120,0,339,1185,11,1535
12,0180C1130,0,535,838,13,1386
13,0180C1140,0,340,1304,13,1657
14,0180C1150,549,183,734,19,1485
15,0180C1160,0,407,1149,8,1564
16,0180C1170,365,1358,190,97,2010
17,0180C1180,292,0,1413,17,1722
18,0180C1190,0,1793,8,135,1936
19,0180C1200,0,0,1577,9,1586
20,0180C1210,465,828,549,123,1965
21,0180C1220,0,492,1586,281,2359
22,0180C1230,0,60,1876,15,1951
23,0180C1240,1295,514,1460,296,3565
24,0180C1250,0,599,1945,15,2559
25,0180C1260,0,280,1448,13,1741
26,0180C1270,848,705,162,28,1743
27,0180C1280,0,938,785,12,1735
28,0180C1290,0,624,1207,150,1981
29,0180C1300,0,326,1148,16,1490
30,0180C1310,0,270,1635,12,1917
31,0180C1320,134,623,1466,21,2244
32,0180C1330,0,282,1545,12,1839
33,0180C1340,122,0,1938,33,2093
34,0180C1350,180,1691,151,29,2051
35,0180C1360,0,178,1743,10,1931
36,0180C1370,0,1140,905,17,2062
37,0180C1380,0,1151,552,17,1720
38,0180C1390,0,1165,722,8,1895
39,0180C1400,687,91,1038,44,1860
40,0180C1410,0,1227,882,20,2129
41,0180C1420,1222,0,7,0,1229
42,0180C1430,1353,93,19,41,1506
43,0180C1440,688,331,778,16,1813
44,0180C1450,0,972,1076,17,2065
45,0180C1460,0,806,1086,17,1909
46,0180C1470,0,266,1692,22,1980
47,0180C1480,0,385,1168,20,1573
48,0180C1490,1198,0,411,13,1622
49,0180C1500,0,659,1332,11,2002
50,0180C1510,0,257,1546,19,1822
51,0180C1520,0,1222,557,15,1794
52,0180C1530,216,957,694,22,1889
53,0180C1540,0,723,737,27,1487
54,0180C1550,1906,130,13,3,2052
55,0180C1560,181,0,1768,20,1969
56,0180C1570,808,0,1089,17,1914
57,0180C1580,0,893,660,20,1573
58,0180C1590,0,651,1572,88,2311
59,0180C1600,651,216,853,132,1852
60,0180C1610,522,1142,530,9,2203
61,0180C1620,1317,68,39,43,1467
62,0180C1630,1469,14,121,3,1607
63,0180C1640,869,591,235,9,1704
64,0180C1650,1561,316,93,7,1977
65,0180C1660,0,0,1607,7,1614
66,0180C1670,1726,44,23,134,1927
67,0180C1680,0,0,1650,64,1714
68,0180C1690,1571,0,26,4,1601
69,0180C1700,1880,45,7,44,1976
70,0180C1710,41,1496,561,10,2108
71,0180C1720,0,0,1931,19,1950
72,0180C1730,0,775,1033,7,1815
73,0180C1740,258,1224,10,12,1504
74,0180C1750,289,365,900,14,1568
75,0180C1760,413,99,837,10,1359
76,0180C1770,1338,263,279,33,1913
77,0180C1780,0,578,1305,26,1909
78,0180C1790,1020,601,377,27,2025
79,0180C1800,0,521,867,4,1392
80,0180C1810,998,433,84,9,1524
