,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
0,0180C1010,38,28,17,16,219.7,261.2,1608
1,0180C1020,38,27,20,15,222.2,253.0,1815
2,0180C1030,15,23,30,31,298.6,340.3,1866
3,0180C1040,26,29,25,20,253.2,276.0,2263
4,0180C1050,19,20,26,35,305.1,327.9,2461
5,0180C1060,28,28,25,20,251.5,277.9,1904
6,0180C1070,42,26,19,13,213.6,240.6,1368
7,0180C1080,25,29,27,19,257.4,278.9,1529
8,0180C1090,27,30,25,17,246.3,268.5,1553
9,0180C1100,34,29,24,13,230.5,261.3,1624
10,0180C1110,13,21,34,32,308.0,334.2,2175
11,0180C1120,45,33,15,8,205.3,217.2,1488
12,0180C1130,36,20,23,21,244.2,268.6,1373
13,0180C1140,41,29,21,9,215.1,232.9,1549
14,0180C1150,33,24,24,18,242.8,274.7,1438
15,0180C1160,38,29,21,11,214.7,234.9,1474
16,0180C1170,14,24,30,31,296.3,328.0,1998
17,0180C1180,35,23,27,15,239.6,259.1,1680
18,0180C1190,20,27,29,25,275.6,294.0,1851
19,0180C1200,46,29,17,9,201.2,217.0,1520
20,0180C1210,24,22,29,25,275.5,299.7,1939
21,0180C1220,31,27,25,17,245.8,268.5,2307
22,0180C1230,52,26,15,7,187.7,204.9,1856
23,0180C1240,20,15,28,37,317.6,347.4,3492
24,0180C1250,29,28,24,18,246.4,274.8,2506
25,0180C1260,35,25,25,15,232.4,300.9,1714
26,0180C1270,11,21,31,37,316.7,352.8,1711
27,0180C1280,37,24,26,13,225.7,251.2,1644
28,0180C1290,30,25,27,17,250.2,272.6,1943
29,0180C1300,48,27,17,8,196.1,220.3,1417
30,0180C1310,24,31,29,15,248.8,268.9,1876
31,0180C1320,32,26,27,15,240.3,258.8,2173
32,0180C1330,45,28,18,8,203.4,219.7,1777
33,0180C1340,43,27,21,10,212.7,229.6,2002
34,0180C1350,18,29,29,24,273.8,296.7,1991
35,0180C1360,31,34,23,12,230.3,244.9,1865
36,0180C1370,30,28,24,18,242.9,269.6,2020
37,0180C1380,29,31,26,14,244.2,258.8,1621
38,0180C1390,25,24,25,27,270.0,302.6,1856
39,0180C1400,21,20,27,32,292.3,312.1,1819
40,0180C1410,23,24,30,23,272.6,288.3,2095
41,0180C1420,6,20,30,43,337.9,384.1,1214
42,0180C1430,4,8,25,64,406.4,458.5,1477
43,0180C1440,24,24,29,23,270.1,293.4,1764
44,0180C1450,25,27,26,21,259.2,278.1,1984
45,0180C1460,27,29,28,16,249.3,264.7,1817
46,0180C1470,35,24,24,18,240.2,259.8,1943
47,0180C1480,28,25,28,19,253.7,270.3,1525
48,0180C1490,41,24,20,15,213.0,251.7,1523
49,0180C1500,27,31,27,14,247.5,259.8,1891
50,0180C1510,45,26,19,11,209.1,228.6,1797
51,0180C1520,29,26,25,20,250.1,269.8,1730
52,0180C1530,19,28,29,24,276.3,290.7,1812
53,0180C1540,26,29,26,19,252.4,272.8,1455
54,0180C1550,3,11,26,59,380.8,450.8,2029
55,0180C1560,46,27,21,6,202.2,212.8,1814
56,0180C1570,23,22,26,29,281.4,316.4,1881
57,0180C1580,20,26,28,26,282.4,419.1,1557
58,0180C1590,47,27,18,9,199.4,220.2,2113
59,0180C1600,37,12,15,36,276.1,317.6,1806
60,0180C1610,22,18,30,30,298.7,319.5,2175
61,0180C1620,3,10,28,60,392.0,439.9,1449
62,0180C1630,8,14,25,52,366.8,386.0,1580
63,0180C1640,9,17,30,44,337.3,383.0,1623
64,0180C1650,5,9,21,65,414.2,509.0,1967
65,0180C1660,56,25,15,4,181.9,199.3,1565
66,0180C1670,3,8,24,65,409.6,459.0,1909
67,0180C1680,56,26,13,5,182.7,195.7,1610
68,0180C1690,14,27,28,31,296.4,326.7,1502
69,0180C1700,3,8,27,62,393.6,466.2,1944
70,0180C1710,20,19,33,28,296.0,316.7,2053
71,0180C1720,45,29,18,7,200.4,216.4,1770
72,0180C1730,38,33,20,9,213.7,228.9,1703
73,0180C1740,15,24,32,29,296.7,315.0,1476
74,0180C1750,25,26,26,23,259.7,292.0,1528
75,0180C1760,24,20,25,31,284.0,310.7,1339
76,0180C1770,8,16,27,49,353.6,383.7,1841
77,0180C1780,46,32,15,7,198.2,214.2,1820
78,0180C1790,12,13,26,49,353.9,390.8,2007
79,0180C1800,31,26,26,17,247.9,264.8,1375
80,0180C1810,6,10,28,56,380.9,433.5,1509
81,0180C1820,5,16,30,48,356.4,401.5,2275
82,0180C1830,5,9,26,60,391.2,439.2,2085
83,0180C1840,15,23,29,32,302.3,333.4,1728
84,0180C1850,11,18,28,43,333.0,385.8,1393
85,0180C1860,32,26,27,16,242.8,259.8,2198
86,0180C1870,22,21,28,29,287.3,333.3,3690
87,0180C1880,13,23,27,37,317.4,354.5,1950
88,0180C1890,6,9,22,62,408.7,495.3,1709
89,0180C1900,30,28,25,17,240.6,257.2,1519
90,0180C1910,46,28,16,10,203.6,228.8,1576
91,0180C1920,11,18,28,43,336.1,364.4,1940
92,0180C1930,12,16,23,49,356.2,444.9,2604
93,0180C1940,29,27,29,14,246.8,264.8,2183
94,0180C1950,20,23,29,28,289.3,306.9,1975
95,0180C1960,9,13,25,53,367.5,436.2,1203
96,0180C1970,6,16,24,53,365.9,408.7,1437
97,0180C1980,27,26,25,22,256.2,289.4,1695
98,0180C1990,12,12,21,56,389.0,469.6,1511
99,0180C2000,21,16,22,42,320.9,397.8,1505
100,0180C2010,38,32,17,13,211.4,237.5,2050
101,0180C2020,27,19,24,30,280.5,309.5,1367
102,0180C2030,16,24,30,30,296.4,322.0,2502
103,0180C2040,43,32,18,6,204.7,219.9,1479
104,0180C2050,23,26,28,23,268.8,288.7,1857
105,0180C2060,43,26,21,11,209.8,233.9,1791
106,0180C2070,18,27,30,25,280.5,302.0,1954
107,0180C2080,16,24,31,29,294.1,312.9,1646
108,0180C2090,16,24,30,29,289.9,311.3,1937
109,0180C2100,14,21,26,39,323.2,377.3,1471
110,0180C2110,19,24,28,29,288.0,320.2,2822
111,0180C2120,8,14,21,56,378.4,478.0,1709
112,0180C2130,21,26,28,25,275.2,318.6,1856
