,deso,0-19_low_pct,0-19_high_pct,0-19_tot,20-64_low_pct,20-64_high_pct,20-64_tot,65_plus_low_pct,65_plus_high_pct,65_plus_tot,tot_low_pct,tot_high_pct,tot_tot
0,0180C1010,34,2,352,23,6,908,17,5,348,24,5,1608
1,0180C1020,36,0,395,21,3,1070,14,4,350,23,3,1815
2,0180C1030,7,3,405,8,9,999,7,9,462,8,8,1866
3,0180C1040,17,2,521,13,4,1412,14,4,330,14,3,2263
4,0180C1050,17,3,527,8,9,1530,8,8,404,10,7,2461
5,0180C1060,18,1,347,11,4,1045,11,3,512,12,3,1904
6,0180C1070,39,0,324,24,3,798,21,4,246,27,2,1368
7,0180C1080,18,1,314,12,4,823,14,4,392,13,3,1529
8,0180C1090,23,0,404,12,3,981,11,5,168,15,3,1553
9,0180C1100,25,2,375,17,4,971,12,5,278,18,4,1624
10,0180C1110,11,1,669,6,10,1223,4,10,283,7,7,2175
11,0180C1120,36,0,410,23,1,924,25,0,154,27,1,1488
12,0180C1130,13,3,268,26,5,872,22,3,233,23,5,1373
13,0180C1140,28,1,376,20,1,1027,18,1,146,22,1,1549
14,0180C1150,27,1,426,19,6,849,14,10,163,21,5,1438
15,0180C1160,34,0,372,20,2,991,32,0,111,24,1,1474
16,0180C1170,7,4,448,7,7,1106,8,9,444,7,7,1998
17,0180C1180,26,1,325,22,2,1101,17,4,254,22,2,1680
18,0180C1190,16,2,496,10,4,1104,15,3,251,12,3,1851
19,0180C1200,46,0,379,25,1,989,26,1,152,30,1,1520
20,0180C1210,13,2,484,13,8,1082,19,6,373,14,6,1939
21,0180C1220,28,1,437,15,3,1551,21,5,319,18,3,2307
22,0180C1230,50,0,451,31,1,1244,33,2,161,36,1,1856
23,0180C1240,16,6,1208,12,9,1767,9,8,517,13,8,3492
24,0180C1250,19,1,558,16,4,1585,15,2,363,16,3,2506
25,0180C1260,25,1,361,18,1,1115,15,1,238,19,1,1714
26,0180C1270,4,2,447,6,9,1057,8,10,207,6,7,1711
27,0180C1280,26,0,352,15,3,1070,13,3,222,17,2,1644
28,0180C1290,16,1,398,17,4,1256,15,3,289,17,3,1943
29,0180C1300,43,0,331,23,0,848,22,3,238,28,1,1417
30,0180C1310,15,2,529,11,4,1065,9,3,282,12,3,1876
31,0180C1320,25,2,403,18,3,1494,19,2,276,20,2,2173
32,0180C1330,38,1,470,24,2,1171,35,1,136,28,2,1777
33,0180C1340,35,1,550,20,2,1283,21,1,169,24,1,2002
34,0180C1350,14,2,416,8,6,1226,8,5,349,9,5,1991
35,0180C1360,29,1,521,17,2,1153,14,2,191,20,2,1865
36,0180C1370,21,1,341,13,4,1402,26,3,277,16,3,2020
37,0180C1380,35,1,343,17,3,1073,15,4,205,20,2,1621
38,0180C1390,16,2,364,13,5,1147,10,8,345,13,5,1856
39,0180C1400,11,3,424,12,6,1208,15,7,187,12,6,1819
40,0180C1410,18,1,383,13,5,1504,15,3,208,14,4,2095
41,0180C1420,7,4,345,3,16,596,2,13,273,4,12,1214
42,0180C1430,1,16,523,1,23,759,0,21,195,1,20,1477
43,0180C1440,15,2,391,13,5,1021,13,6,352,14,4,1764
44,0180C1450,24,1,335,11,4,1398,19,2,251,14,3,1984
45,0180C1460,23,0,344,14,2,1211,10,2,262,15,2,1817
46,0180C1470,30,1,398,18,3,1349,18,2,196,20,2,1943
47,0180C1480,18,3,315,13,4,1051,14,2,159,14,4,1525
48,0180C1490,34,2,374,22,5,800,23,3,349,25,4,1523
49,0180C1500,25,0,463,14,2,1220,10,1,208,16,1,1891
50,0180C1510,44,0,482,27,2,1115,24,2,200,31,2,1797
51,0180C1520,22,2,417,16,3,1062,17,4,251,18,3,1730
52,0180C1530,17,1,340,12,4,1224,14,2,248,13,3,1812
53,0180C1540,18,0,246,16,3,964,8,3,245,15,2,1455
54,0180C1550,2,12,717,1,21,1067,4,16,245,2,17,2029
55,0180C1560,42,0,462,28,1,1178,36,0,174,32,0,1814
56,0180C1570,9,7,455,15,8,1184,7,9,242,13,8,1881
57,0180C1580,12,3,315,11,5,1076,17,3,166,12,5,1557
58,0180C1590,45,0,582,25,1,1336,16,3,195,29,1,2113
59,0180C1600,39,11,573,27,11,1120,11,21,113,30,12,1806
60,0180C1610,16,5,639,12,9,1210,15,9,326,14,8,2175
61,0180C1620,2,13,510,2,21,777,4,14,162,2,17,1449
62,0180C1630,3,10,421,6,17,911,5,11,248,5,14,1580
63,0180C1640,4,11,367,5,14,1013,5,17,243,5,14,1623
64,0180C1650,2,21,636,3,26,1080,5,18,251,3,23,1967
65,0180C1660,50,0,438,31,0,883,32,0,244,36,0,1565
66,0180C1670,1,17,672,2,23,983,5,27,254,2,21,1909
67,0180C1680,49,0,393,34,0,984,34,2,233,38,0,1610
68,0180C1690,15,3,348,10,8,814,3,15,340,10,8,1502
69,0180C1700,0,19,668,2,25,1022,4,19,254,2,22,1944
70,0180C1710,12,4,472,10,7,1384,24,3,197,12,6,2053
71,0180C1720,38,0,497,22,1,1092,22,1,181,27,1,1770
72,0180C1730,38,0,463,21,1,1048,10,1,192,24,1,1703
73,0180C1740,6,2,420,6,6,899,17,5,157,7,5,1476
74,0180C1750,14,3,348,13,5,974,14,5,206,13,4,1528
75,0180C1760,14,6,278,12,8,812,9,6,249,12,7,1339
76,0180C1770,3,12,522,6,16,1125,9,12,194,6,15,1841
77,0180C1780,38,0,416,26,1,1131,33,1,273,30,0,1820
78,0180C1790,6,10,565,6,14,1176,7,11,266,6,13,2007
79,0180C1800,20,1,282,16,4,894,14,2,199,17,3,1375
80,0180C1810,2,10,529,2,17,760,5,19,220,3,15,1509
81,0180C1820,2,5,597,2,17,1043,2,15,635,2,13,2275
