,deso,in_traffic,not_in_traffic,tot
0,0180C1010,314,50,364
1,0180C1020,405,311,716
2,0180C1030,610,49,659
3,0180C1040,568,80,648
4,0180C1050,673,77,750
5,0180C1060,488,94,582
6,0180C1070,285,89,374
7,0180C1080,376,53,429
8,0180C1090,397,50,447
9,0180C1100,424,83,507
10,0180C1110,686,110,796
11,0180C1120,335,91,426
12,0180C1130,310,99,409
13,0180C1140,328,87,415
14,0180C1150,445,78,523
15,0180C1160,273,81,354
16,0180C1170,654,49,703
17,0180C1180,344,79,423
18,0180C1190,386,52,438
19,0180C1200,308,216,524
20,0180C1210,475,57,532
21,0180C1220,472,67,539
22,0180C1230,303,144,447
23,0180C1240,783,244,1027
24,0180C1250,563,80,643
25,0180C1260,351,85,436
26,0180C1270,542,67,609
27,0180C1280,400,155,555
28,0180C1290,459,104,563
29,0180C1300,259,40,299
30,0180C1310,468,53,521
31,0180C1320,465,90,555
32,0180C1330,357,139,496
33,0180C1340,393,96,489
34,0180C1350,649,104,753
35,0180C1360,379,105,484
36,0180C1370,339,92,431
37,0180C1380,368,47,415
38,0180C1390,477,44,521
39,0180C1400,470,77,547
40,0180C1410,452,65,517
41,0180C1420,439,40,479
42,0180C1430,552,106,658
43,0180C1440,480,48,528
44,0180C1450,389,64,453
45,0180C1460,418,61,479
46,0180C1470,357,83,440
47,0180C1480,343,81,424
48,0180C1490,393,157,550
49,0180C1500,445,61,506
50,0180C1510,295,102,397
51,0180C1520,325,77,402
52,0180C1530,445,101,546
53,0180C1540,302,47,349
54,0180C1550,702,100,802
55,0180C1560,373,107,480
56,0180C1570,478,65,543
57,0180C1580,346,40,386
58,0180C1590,425,99,524
59,0180C1600,363,136,499
60,0180C1610,523,73,596
61,0180C1620,479,53,532
62,0180C1630,536,55,591
63,0180C1640,563,81,644
64,0180C1650,637,94,731
65,0180C1660,289,78,367
66,0180C1670,670,108,778
67,0180C1680,277,121,398
68,0180C1690,616,72,688
69,0180C1700,681,86,767
70,0180C1710,488,37,525
71,0180C1720,337,128,465
72,0180C1730,419,89,508
73,0180C1740,318,22,340
74,0180C1750,321,41,362
75,0180C1760,374,182,556
76,0180C1770,570,114,684
77,0180C1780,303,83,386
78,0180C1790,554,59,613
79,0180C1800,286,111,397
80,0180C1810,425,43,468
81,0180C1820,795,40,835
82,0180C1830,684,82,766
83,0180C1840,459,56,515
84,0180C1850,331,59,390
85,0180C1860,574,68,642
86,0180C1870,692,77,769
87,0180C1880,616,102,718
88,0180C1890,520,66,586
89,0180C1900,305,90,395
90,0180C1910,327,57,384
91,0180C1920,614,90,704
92,0180C1930,702,99,801
93,0180C1940,409,60,469
94,0180C1950,468,61,529
95,0180C1960,368,33,401
96,0180C1970,502,95,597
97,0180C1980,383,61,444
98,0180C1990,414,45,459
99,0180C2000,361,42,403
100,0180C2010,448,113,561
101,0180C2020,376,54,430
102,0180C2030,663,50,713
103,0180C2040,310,48,358
104,0180C2050,498,62,560
105,0180C2060,304,91,395
106,0180C2070,562,78,640
107,0180C2080,458,31,489
108,0180C2090,595,91,686
109,0180C2100,455,55,510
110,0180C2110,695,77,772
111,0180C2120,485,59,544
112,0180C2130,353,66,419
113,0180C2140,497,90,587
114,0180C2150,442,234,676
115,0180C2160,429,126,555
116,0180C2170,379,29,408
117,0180C2180,452,75,527
118,0180C2190,467,61,528
119,0180C2200,263,60,323
120,0180C2210,257,94,351
121,0180C2220,617,117,734
122,0180C2230,307,80,387
123,0180C2240,422,45,467
124,0180C2250,400,152,552
125,0180C2260,283,49,332
126,0180C2270,429,68,497
127,0180C2280,425,80,505
128,0180C2290,528,184,712
129,0180C2300,757,125,882
130,0180C2310,406,86,492
131,0180C2320,491,52,543
132,0180C2330,383,48,431
133,0180C2340,428,84,512
134,0180C2350,475,82,557
135,0180C2360,327,46,373
136,0180C2370,342,41,383
137,0180C2380,459,79,538
138,0180C2390,359,53,412
139,0180C2400,401,25,426
140,0180C2410,365,34,399
141,0180C2420,425,98,523
142,0180C2430,536,64,600
143,0180C2440,503,68,571
144,0180C2450,296,45,341
145,0180C2460,469,78,547
146,0180C2470,310,68,378
147,0180C2480,426,54,480
148,0180C2490,429,50,479
149,0180C2500,347,63,410
150,0180C2510,387,73,460
151,0180C2520,241,54,295
152,0180C2530,400,27,427
153,0180C2540,448,56,504
154,0180C2550,384,103,487
155,0180C2560,371,35,406
156,0180C2570,397,34,431
157,0180C2580,615,66,681
158,0180C2590,461,42,503
159,0180C2600,499,67,566
160,0180C2610,444,50,494
161,0180C2620,437,31,468
162,0180C2630,342,47,389
163,0180C2640,471,76,547
164,0180C2650,319,63,382
165,0180C2660,307,28,335
166,0180C2670,372,41,413
167,0180C2680,424,65,489
168,0180C2690,398,68,466
169,0180C2700,493,67,560
170,0180C2710,457,56,513
171,0180C2720,298,57,355
172,0180C2730,323,44,367
173,0180C2740,370,45,415
174,0180C2750,482,55,537
175,0180C2760,337,37,374
176,0180C2770,378,49,427
177,0180C2780,624,44,668
178,0180C2790,290,39,329
179,0180C2800,430,50,480
180,0180C2810,416,45,461
181,0180C2820,324,43,367
182,0180C2830,282,68,350
183,0180C2840,392,42,434
184,0180C2850,314,41,355
185,0180C2860,407,38,445
186,0180C2870,275,34,309
187,0180C2880,615,61,676
188,0180C2890,320,51,371
189,0180C2900,516,36,552
190,0180C2910,292,66,358
191,0180C2920,511,75,586
192,0180C2930,278,54,332
193,0180C2940,414,64,478
194,0180C2950,825,82,907
195,0180C2960,439,41,480
196,0180C2970,391,50,441
197,0180C2980,334,20,354
198,0180C2990,272,29,301
199,0180C3000,276,36,312
200,0180C3010,224,23,247
201,0180C3020,215,44,259
202,0180C3030,257,38,295
203,0180C3040,341,74,415
204,0180C3050,384,53,437
205,0180C3060,236,35,271
206,0180C3070,432,36,468
207,0180C3080,239,32,271
208,0180C3090,324,40,364
209,0180C3100,556,66,622
210,0180C3110,216,55,271
211,0180C3120,357,21,378
212,0180C3130,308,57,365
213,0180C3140,275,69,344
214,0180C3150,235,43,278
215,0180C3160,343,59,402
216,0180C3170,301,45,346
217,0180C3180,294,69,363
218,0180C3190,394,80,474
219,0180C3200,392,55,447
220,0180C3210,311,31,342
221,0180C3220,399,55,454
222,0180C3230,333,30,363
223,0180C3240,454,68,522
224,0180C3250,280,53,333
225,0180C3260,242,102,344
226,0180C3270,432,47,479
227,0180C3280,247,28,275
228,0180C3290,234,39,273
229,0180C3300,455,64,519
230,0180C3310,248,64,312
231,0180C3320,272,41,313
232,0180C3330,471,76,547
233,0180C3340,280,71,351
234,0180C3350,356,46,402
235,0180C3360,333,82,415
236,0180C3370,328,57,385
237,0180C3380,194,63,257
238,0180C3390,225,43,268
239,0180C3400,292,53,345
240,0180C3410,409,37,446
241,0180C3420,285,38,323
242,0180C3430,285,61,346
243,0180C3440,248,43,291
244,0180C3450,350,68,418
245,0180C3460,250,53,303
246,0180C3470,225,57,282
247,0180C3480,321,73,394
248,0180C3490,241,36,277
249,0180C3500,172,58,230
250,0180C3510,518,62,580
251,0180C3520,347,75,422
252,0180C3530,338,50,388
253,0180C3540,259,70,329
254,0180C3550,282,61,343
255,0180C3560,396,48,444
256,0180C3570,227,43,270
257,0180C3580,265,74,339
258,0180C3590,337,36,373
259,0180C3600,234,45,279
260,0180C3610,556,63,619
261,0180C3620,269,70,339
262,0180C3630,185,43,228
263,0180C3640,311,58,369
264,0180C3650,298,66,364
265,0180C3660,127,39,166
266,0180C3670,199,53,252
267,0180C3680,314,52,366
268,0180C3690,326,81,407
269,0180C3700,237,46,283
270,0180C3710,248,47,295
271,0180C3720,452,49,501
272,0180C3730,331,42,373
273,0180C3740,275,52,327
274,0180C3750,292,65,357
275,0180C3760,503,62,565
276,0180C3770,276,73,349
277,0180C3780,209,48,257
278,0180C3790,215,37,252
279,0180C3800,296,38,334
280,0180C3810,265,44,309
281,0180C3820,258,54,312
282,0180C3830,442,38,480
283,0180C3840,555,71,626
284,0180C3850,627,79,706
285,0180C3860,282,47,329
286,0180C3870,441,62,503
287,0180C3880,314,164,478
288,0180C3890,226,52,278
289,0180C3900,416,92,508
290,0180C3910,588,59,647
291,0180C3920,276,81,357
292,0180C3930,336,69,405
293,0180C3940,325,95,420
294,0180C3950,242,32,274
295,0180C3960,286,63,349
296,0180C3970,318,52,370
297,0180C3980,313,53,366
298,0180C3990,306,52,358
299,0180C4000,394,48,442
300,0180C4010,275,84,359
301,0180C4020,333,41,374
302,0180C4030,241,26,267
303,0180C4040,361,85,446
304,0180C4050,463,78,541
305,0180C4060,750,103,853
306,0180C4070,263,71,334
307,0180C4080,404,39,443
308,0180C4090,238,37,275
309,0180C4100,262,38,300
310,0180C4110,556,58,614
311,0180C4120,294,75,369
312,0180C4130,292,45,337
313,0180C4140,348,85,433
314,0180C4150,288,51,339
315,0180C4160,264,35,299
316,0180C4170,174,51,225
317,0180C4180,436,58,494
318,0180C4190,426,62,488
319,0180C4200,533,38,571
320,0180C4210,407,177,584
321,0180C4220,306,84,390
322,0180C4230,231,33,264
323,0180C4240,310,65,375
324,0180C4250,263,48,311
325,0180C4260,454,57,511
326,0180C4270,233,36,269
327,0180C4280,325,58,383
328,0180C4290,388,66,454
329,0180C4300,444,58,502
330,0180C4310,510,155,665
331,0180C4320,351,30,381
332,0180C4330,261,60,321
333,0180C4340,366,94,460
334,0180C4350,320,30,350
335,0180C4360,305,55,360
336,0180C4370,351,52,403
337,0180C4380,363,94,457
338,0180C4390,400,166,566
339,0180C4400,219,54,273
340,0180C4410,243,32,275
341,0180C4420,129,33,162
342,0180C4430,366,78,444
343,0180C4440,404,36,440
344,0180C4450,531,84,615
345,0180C4460,527,58,585
346,0180C4470,264,57,321
347,0180C4480,415,103,518
348,0180C4490,302,41,343
349,0180C4500,274,115,389
350,0180C4510,547,70,617
351,0180C4520,384,25,409
352,0180C4530,550,102,652
353,0180C4540,295,73,368
354,0180C4550,244,28,272
355,0180C4560,408,81,489
356,0180C4570,329,39,368
357,0180C4580,512,48,560
358,0180C4590,408,44,452
359,0180C4600,322,44,366
360,0180C4610,224,37,261
361,0180C4620,273,65,338
362,0180C4630,286,53,339
363,0180C4640,405,60,465
364,0180C4650,241,51,292
365,0180C4660,205,36,241
366,0180C4670,355,37,392
367,0180C4680,364,33,397
368,0180C4690,291,65,356
369,0180C4700,577,96,673
370,0180C4710,340,100,440
371,0180C4720,381,80,461
372,0180C4730,420,35,455
373,0180C4740,306,57,363
374,0180C4750,303,63,366
375,0180C4760,238,45,283
376,0180C4770,413,121,534
377,0180C4780,255,63,318
378,0180C4790,425,109,534
379,0180C4800,279,51,330
380,0180C4810,409,76,485
381,0180C4820,305,51,356
382,0180C4830,349,75,424
383,0180C4840,252,61,313
384,0180C4850,278,57,335
385,0180C4860,351,68,419
386,0180C4870,463,113,576
387,0180C4880,305,101,406
388,0180C4890,245,49,294
389,0180C4900,329,59,388
390,0180C4910,361,87,448
391,0180C4920,252,40,292
392,0180C4930,434,79,513
393,0180C4940,496,55,551
394,0180C4950,341,53,394
395,0180C4960,323,81,404
396,0180C4970,632,60,692
397,0180C4980,154,39,193
398,0180C4990,346,63,409
399,0180C5000,305,98,403
400,0180C5010,497,101,598
401,0180C5020,379,87,466
